Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
12.0,3.0,0.0,44.0,2.0,nan,770.0,787.0,0.00119,100.42,0.8,nan,nan,41330.0,1.0,1.0,7.0,13.0,79.0,24.0,nan,1.7214182409999998
31.0,14.0,5.0,4.0,1.0,nan,35777.0,35794.0,0.0002,1436.08,2894.0,1730.0,6800.0,36429.0,15.0,131.0,47.0,0.0,95.0,6.0,1.309520538,0.000174533
31.0,14.0,5.0,4.0,1.0,nan,35785.0,35789.0,5e-05,1436.13,1459.0,800.0,1600.0,35078.0,10.0,132.0,47.0,1.0,29.0,6.0,2.03400671,0.032463123999999996
11.0,14.0,5.0,4.0,1.0,nan,35780.0,35793.0,0.00015,1436.1,4143.0,1700.0,7400.0,38059.0,12.0,223.0,47.0,1.0,16.0,6.0,1.308996939,0.000174533
31.0,13.0,5.0,4.0,1.0,nan,35780.0,35791.0,0.00013000000000000002,1436.06,3500.0,1800.0,4800.0,36407.0,15.0,132.0,47.0,3.0,0.0,6.0,2.027723525,0.000174533
65.0,186.0,10.0,38.0,2.0,6.0,670.0,710.0,0.00283,98.6,115.0,13.0,10.0,36515.0,5.0,200.0,47.0,21.0,123.0,36.0,nan,1.7069320080000001
65.0,212.0,15.0,20.0,1.0,nan,35560.0,36013.0,0.005370000000000001,1436.14,4500.0,nan,nan,35924.0,nan,243.0,47.0,1.0,129.0,6.0,-0.253072742,0.134739418
65.0,212.0,15.0,20.0,1.0,nan,35589.0,35984.0,0.00468,1436.1,4500.0,nan,nan,37873.0,nan,243.0,47.0,1.0,128.0,6.0,1.6650441059999999,0.055850536
65.0,212.0,15.0,20.0,1.0,nan,35714.0,35937.0,0.00264,1438.8,5000.0,nan,nan,39831.0,nan,180.0,47.0,1.0,34.0,24.0,0.767944871,0.050440015
65.0,212.0,15.0,20.0,1.0,nan,35500.0,35500.0,0.0,nan,5000.0,nan,nan,40503.0,nan,180.0,47.0,1.0,34.0,24.0,1.761037215,0.0
65.0,212.0,15.0,20.0,1.0,nan,35771.0,35805.0,0.0004,23.94,5000.0,nan,nan,41089.0,nan,182.0,47.0,1.0,34.0,1.0,1.047197551,0.0
65.0,312.0,15.0,4.0,1.0,nan,35872.0,36103.0,0.0027300000000000002,1446.36,6169.0,nan,nan,40404.0,14.0,138.0,47.0,1.0,19.0,24.0,-1.2042771840000002,0.076096355
65.0,312.0,15.0,4.0,1.0,nan,35700.0,35700.0,0.0,1306.29,6169.0,nan,nan,41032.0,14.0,138.0,47.0,1.0,19.0,31.0,-2.094395102,0.35587263399999997
65.0,312.0,15.0,4.0,1.0,nan,35700.0,35700.0,0.0,1306.29,6169.0,nan,nan,41535.0,14.0,138.0,47.0,1.0,19.0,31.0,nan,0.35587263399999997
65.0,59.0,10.0,44.0,2.0,nan,480.0,790.0,0.02213,97.4,3.0,nan,nan,41165.0,nan,267.0,47.0,21.0,19.0,31.0,nan,0.000349066
65.0,4.0,5.0,44.0,2.0,nan,495.0,791.0,0.0211,97.5,4.5,nan,nan,41165.0,nan,2.0,47.0,21.0,19.0,31.0,nan,1.127482697
65.0,4.0,5.0,44.0,2.0,nan,499.0,792.0,0.020880000000000003,97.6,4.5,nan,nan,41165.0,nan,2.0,47.0,21.0,19.0,31.0,nan,1.127482697
65.0,4.0,5.0,44.0,2.0,nan,443.0,886.0,0.03149,98.0,5.0,nan,nan,41614.0,2.0,2.0,47.0,21.0,19.0,31.0,nan,2.09963109
65.0,4.0,5.0,44.0,2.0,nan,443.0,886.0,0.03149,98.0,5.0,nan,nan,41614.0,2.0,2.0,47.0,21.0,19.0,31.0,nan,2.09963109
42.0,86.0,5.0,4.0,1.0,nan,35764.0,35808.0,0.0005200000000000001,1436.08,3460.0,1555.0,7000.0,39802.0,15.0,70.0,9.0,3.0,7.0,6.0,0.837758041,0.002094395
39.0,163.0,5.0,4.0,1.0,nan,35784.0,35787.0,4e-05,1436.06,1450.0,650.0,1200.0,35077.0,12.2,31.0,47.0,3.0,4.0,6.0,0.803375055,0.019547688
65.0,0.0,5.0,4.0,1.0,nan,35770.0,35802.0,0.00037999999999999997,1436.09,2704.0,1530.0,5500.0,36096.0,15.0,150.0,9.0,3.0,4.0,6.0,0.365995544,0.000523599
31.0,13.0,5.0,4.0,1.0,nan,35769.0,35802.0,0.00039,1436.07,3775.0,1800.0,9000.0,35661.0,15.0,223.0,47.0,23.0,70.0,6.0,2.549227905,0.000872665
34.0,142.0,10.0,37.0,2.0,nan,510.0,534.0,0.0017399999999999998,95.1,325.0,nan,nan,39195.0,3.0,44.0,22.0,13.0,89.0,36.0,nan,0.043633230999999995
65.0,33.0,10.0,16.0,2.0,nan,570.0,583.0,0.0009400000000000001,96.2,215.0,197.0,216.0,39197.0,2.0,200.0,47.0,21.0,93.0,36.0,nan,1.7069320080000001
45.0,153.0,10.0,23.0,2.0,6.0,615.0,632.0,0.00122,97.2,6.0,nan,nan,40371.0,3.0,122.0,3.0,16.0,79.0,36.0,nan,1.7104226669999998
48.0,267.0,0.0,44.0,2.0,nan,599.0,626.0,0.00193,96.9,nan,nan,nan,41636.0,nan,255.0,33.0,12.0,107.0,31.0,nan,1.438151304
48.0,267.0,0.0,44.0,2.0,nan,558.0,582.0,0.00173,96.06,53.0,nan,nan,41383.0,3.0,212.0,33.0,0.0,105.0,nan,nan,1.132369619
35.0,127.0,0.0,40.0,0.0,nan,264.0,5732.0,0.29184,150.4,nan,294.0,270.0,32560.0,1.0,103.0,24.0,20.0,77.0,22.0,nan,1.310742268
65.0,314.0,15.0,44.0,2.0,nan,443.0,886.0,0.03149,98.0,5.0,nan,nan,41614.0,nan,260.0,47.0,21.0,19.0,33.0,nan,2.09963109
64.0,113.0,7.0,10.0,1.0,nan,35786.0,35787.0,1e-05,1436.09,6650.0,3370.0,12000.0,41480.0,15.0,20.0,13.0,3.0,8.0,31.0,0.43633231299999997,0.000349066
